,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,Date,Lockdown,Public Health Measures,Governance and socio-economic measures,Humanitarian exemption,Social distancing,Movement restrictions
0,31/12/2019,31,12,2019,0,0,India,IN,IND,1352617328.0,2019-12-31,0.0,0.0,0.0,0.0,0.0,0.0
1,01/01/2020,1,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2,02/01/2020,2,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
3,03/01/2020,3,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
4,04/01/2020,4,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0
5,05/01/2020,5,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0
6,06/01/2020,6,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0
7,07/01/2020,7,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0
8,08/01/2020,8,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0
9,09/01/2020,9,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0
10,10/01/2020,10,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0
11,11/01/2020,11,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0
12,12/01/2020,12,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0
13,13/01/2020,13,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0
14,14/01/2020,14,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0
15,15/01/2020,15,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0
16,16/01/2020,16,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0
17,17/01/2020,17,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0
18,18/01/2020,18,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0
19,19/01/2020,19,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0
20,20/01/2020,20,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0
21,21/01/2020,21,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0
22,22/01/2020,22,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0
23,23/01/2020,23,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0
24,24/01/2020,24,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0
25,25/01/2020,25,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-25,0.0,2.0,0.0,0.0,0.0,0.0
26,26/01/2020,26,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-26,0.0,4.0,0.0,0.0,0.0,0.0
27,27/01/2020,27,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-27,0.0,6.0,0.0,0.0,0.0,0.0
28,28/01/2020,28,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-28,0.0,8.0,0.0,0.0,0.0,0.0
29,29/01/2020,29,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-29,0.0,10.0,0.0,0.0,0.0,0.0
30,30/01/2020,30,1,2020,1,0,India,IN,IND,1352617328.0,2020-01-30,0.0,12.0,0.0,0.0,0.0,0.0
31,31/01/2020,31,1,2020,0,0,India,IN,IND,1352617328.0,2020-01-31,0.0,14.0,0.0,0.0,0.0,0.0
32,01/02/2020,1,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-01,0.0,16.0,0.0,0.0,0.0,0.0
33,02/02/2020,2,2,2020,1,0,India,IN,IND,1352617328.0,2020-02-02,0.0,18.0,0.0,0.0,0.0,0.0
34,03/02/2020,3,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-03,0.0,20.0,0.0,0.0,0.0,0.0
35,04/02/2020,4,2,2020,1,0,India,IN,IND,1352617328.0,2020-02-04,0.0,22.0,0.0,0.0,0.0,0.0
36,05/02/2020,5,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-05,0.0,24.0,0.0,0.0,0.0,0.0
37,06/02/2020,6,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-06,0.0,26.0,0.0,0.0,0.0,0.0
38,07/02/2020,7,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-07,0.0,28.0,0.0,0.0,0.0,0.0
39,08/02/2020,8,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-08,0.0,30.0,0.0,0.0,0.0,0.0
40,09/02/2020,9,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-09,0.0,32.0,0.0,0.0,0.0,0.0
41,10/02/2020,10,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-10,0.0,34.0,0.0,0.0,0.0,0.0
42,11/02/2020,11,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-11,0.0,36.0,0.0,0.0,0.0,0.0
43,12/02/2020,12,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-12,0.0,38.0,0.0,0.0,0.0,0.0
44,13/02/2020,13,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-13,0.0,40.0,0.0,0.0,0.0,0.0
45,14/02/2020,14,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-14,0.0,42.0,0.0,0.0,0.0,0.0
46,15/02/2020,15,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-15,0.0,44.0,0.0,0.0,0.0,0.0
47,16/02/2020,16,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-16,0.0,46.0,0.0,0.0,0.0,0.0
48,17/02/2020,17,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-17,0.0,48.0,0.0,0.0,0.0,0.0
49,18/02/2020,18,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-18,0.0,50.0,0.0,0.0,0.0,0.0
50,19/02/2020,19,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-19,0.0,52.0,0.0,0.0,0.0,0.0
51,20/02/2020,20,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-20,0.0,54.0,0.0,0.0,0.0,0.0
52,21/02/2020,21,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-21,0.0,56.0,0.0,0.0,0.0,0.0
53,22/02/2020,22,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-22,0.0,58.0,0.0,0.0,0.0,0.0
54,23/02/2020,23,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-23,0.0,60.0,0.0,0.0,0.0,0.0
55,24/02/2020,24,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-24,0.0,62.0,0.0,0.0,0.0,0.0
56,25/02/2020,25,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-25,0.0,64.0,0.0,0.0,0.0,0.0
57,26/02/2020,26,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-26,0.0,67.0,0.0,0.0,0.0,1.0
58,27/02/2020,27,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-27,0.0,70.0,0.0,0.0,0.0,2.0
59,28/02/2020,28,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-28,0.0,73.0,0.0,0.0,0.0,3.0
60,29/02/2020,29,2,2020,0,0,India,IN,IND,1352617328.0,2020-02-29,0.0,76.0,0.0,0.0,0.0,4.0
61,01/03/2020,1,3,2020,0,0,India,IN,IND,1352617328.0,2020-03-01,0.0,79.0,0.0,0.0,0.0,5.0
62,02/03/2020,2,3,2020,0,0,India,IN,IND,1352617328.0,2020-03-02,0.0,82.0,0.0,0.0,0.0,6.0
63,03/03/2020,3,3,2020,2,0,India,IN,IND,1352617328.0,2020-03-03,0.0,85.0,0.0,0.0,0.0,7.0
64,04/03/2020,4,3,2020,1,0,India,IN,IND,1352617328.0,2020-03-04,0.0,88.0,0.0,0.0,0.0,8.0
