Date,day,month,year,popData2018,Daily_total_tests,Daily_tests_per_thousand,tests_per_thousand,cases,deaths,Lockdown,Public Health Measures,Governance and socio-economic measures,Humanitarian exemption,Social distancing,Movement restrictions
2019-12-31,31,12,2019,60431283,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,1,1,2020,60431283,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,2,1,2020,60431283,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,3,1,2020,60431283,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-04,4,1,2020,60431283,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,5,1,2020,60431283,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,6,1,2020,60431283,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,7,1,2020,60431283,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,8,1,2020,60431283,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,9,1,2020,60431283,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,10,1,2020,60431283,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-11,11,1,2020,60431283,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-12,12,1,2020,60431283,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,13,1,2020,60431283,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,14,1,2020,60431283,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,15,1,2020,60431283,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
